# ===============================================================================================================================================================================
# TIME     FASTF      PCOOL      TCOOL      GKL        PITCH      Q1         Q2         Q3         Q4         Q5         Q6         Q7         Q8         Q9         Q10       
# (h)      (n/cmWs)   (MPa)      (Celsius)  (kg/s)     (mm)       (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)    
# ===============================================================================================================================================================================
0          4.842e+12  15.8       291.7      1.140e+06  12.70      12.605     18.426     21.567     23.669     25.070     25.805     25.711     24.648     21.642     13.258    
144        4.849e+12  15.8       291.7      1.140e+06  12.70      16.250     21.931     23.762     24.412     24.576     24.408     23.910     22.883     20.370     12.858    
3240       4.798e+12  15.8       291.7      1.140e+06  12.70      19.490     25.031     25.375     24.924     24.445     24.030     23.675     23.246     21.784     14.375    
5880       4.804e+12  15.8       291.7      1.140e+06  12.70      20.411     26.737     26.371     25.566     24.864     24.282     23.833     23.501     22.465     14.870    
6765.6     4.800e+12  15.8       291.7      1.140e+06  12.70      20.678     26.553     25.886     25.135     24.588     24.184     23.929     23.875     23.369     15.679    
7844.6     4.635e+12  15.8       279.2      1.175e+06  12.70      15.662     19.960     20.138     20.564     21.285     22.164     23.198     24.502     25.751     17.972    
7846.6     4.666e+12  15.8       291.7      1.146e+06  12.70      13.261     21.241     25.333     28.435     30.708     32.015     32.128     30.639     26.433     15.948    
7989.6     4.669e+12  15.8       291.7      1.146e+06  12.70      17.281     25.555     28.147     29.466     30.138     30.284     29.835     28.457     24.989     15.604    
11445.6    4.848e+12  15.8       291.7      1.146e+06  12.70      20.429     26.842     27.178     26.920     26.680     26.528     26.445     26.265     24.941     17.309    
13605.6    4.937e+12  15.8       291.7      1.146e+06  12.70      21.471     27.150     26.841     26.279     25.848     25.553     25.390     25.302     24.462     17.679    
14834.4    4.968e+12  15.8       291.7      1.146e+06  12.70      21.380     26.254     25.675     25.174     24.932     24.887     25.066     25.560     25.817     19.452    
16328.6    4.783e+12  15.8       275.2      1.191e+06  12.70      14.925     18.022     18.218     18.835     19.798     20.979     22.416     24.307     26.624     21.347    
16330.6    6.176e+12  15.8       291.7      1.148e+06  12.70      15.124     21.174     23.220     24.404     25.095     25.268     24.900     23.912     21.689     14.622    
16473.6    6.160e+12  15.8       291.7      1.148e+06  12.70      17.187     22.743     23.677     23.790     23.625     23.246     22.663     21.799     20.045     13.890    
17769.6    6.133e+12  15.8       291.7      1.148e+06  12.70      17.767     22.514     22.925     22.836     22.688     22.492     22.223     21.792     20.559     14.732    
19375.2    6.089e+12  15.8       291.7      1.148e+06  12.70      17.863     21.689     21.721     21.546     21.464     21.464     21.564     21.781     21.658     16.514    
21230.4    5.748e+12  15.8       273.3      1.198e+06  12.70      11.640     13.990     14.469     15.183     16.145     17.275     18.591     20.186     22.013     18.130    
21234.2    5.731e+12  15.8       283.4      1.171e+06  12.70      5.601      7.004      7.621      8.453      9.514      10.766     12.217     13.902     15.545     13.196    
21236.2    6.221e+12  15.8       291.7      1.148e+06  12.70      12.445     16.786     18.281     18.988     19.378     18.957     18.392     17.475     15.798     10.145    
21379.2    6.196e+12  15.8       291.7      1.148e+06  12.70      14.291     18.277     19.002     19.040     18.773     18.319     17.729     16.966     15.586     10.276    
22795.2    6.158e+12  15.8       291.7      1.148e+06  12.70      14.626     17.905     18.251     18.264     18.205     18.110     17.992     17.827     17.220     11.959    
23620.8    6.124e+12  15.8       291.7      1.148e+06  12.70      15.009     17.925     18.047     17.973     17.909     17.869     17.872     17.939     17.787     12.821    
24258.2    5.977e+12  15.8       283.2      1.172e+06  12.70      12.950     15.415     15.792     16.204     16.714     17.276     17.886     18.573     19.234     14.240    
24260.2    6.140e+12  15.8       291.7      1.148e+06  12.70      2.564      3.933      4.795      5.541      6.217      6.801      7.234      7.436      6.974      4.956     
24403.2    6.025e+12  15.8       291.7      1.148e+06  12.70      3.743      5.265      5.849      6.190      6.437      6.631      6.764      6.764      6.385      4.654     
29659.2    5.650e+12  15.8       291.7      1.148e+06  12.70      5.516      6.681      6.752      6.724      6.699      6.689      6.698      6.714      6.606      5.322     
31540.8    5.506e+12  15.8       291.7      1.148e+06  12.70      5.882      6.839      6.815      6.804      6.854      6.950      7.096      7.314      7.588      6.394     
32276.6    5.354e+12  15.8       281.1      1.178e+06  12.70      4.965      5.743      5.819      5.989      6.250      6.568      6.946      7.418      7.930      6.989     
32278.6    6.076e+12  15.8       291.7      1.146e+06  12.70      3.470      5.179      6.325      7.358      8.301      9.096      9.653      9.889      9.318      6.407     
32421.6    6.015e+12  15.8       291.7      1.146e+06  12.70      5.056      6.927      7.704      8.192      8.548      8.806      8.982      8.901      8.415      5.898     
35877.6    5.957e+12  15.8       291.7      1.146e+06  12.70      6.816      8.326      8.490      8.486      8.471      8.473      8.496      8.572      8.369      6.311     
37677.6    5.921e+12  15.8       291.7      1.146e+06  12.70      7.281      8.561      8.594      8.536      8.486      8.456      8.451      8.471      8.398      6.513     
39432      5.871e+12  15.8       291.7      1.146e+06  12.70      7.545      8.552      8.492      8.486      8.564      8.699      8.889      9.171      9.526      7.782     
40375.2    5.717e+12  15.8       281.2      1.175e+06  12.70      5.704      6.442      6.541      6.791      7.163      7.613      8.142      8.802      9.604      8.234     
