# ===============================================================================================================================================================================
# TIME     FASTF      PCOOL      TCOOL      GKL        PITCH      Q1         Q2         Q3         Q4         Q5         Q6         Q7         Q8         Q9         Q10       
# (h)      (n/cmWs)   (MPa)      (Celsius)  (kg/s)     (mm)       (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)     (kW/m)    
# ===============================================================================================================================================================================
0          5.000e+12  15.8       291.7      1.148e+06  12.70      12.908     18.152     21.573     24.642     27.479     29.910     31.686     32.547     30.668     20.601    
144        5.014e+12  15.8       291.7      1.148e+06  12.70      17.872     23.136     25.029     26.103     26.881     27.448     27.859     27.610     25.966     17.688    
5400       5.165e+12  15.8       291.7      1.148e+06  12.70      22.736     29.519     29.602     28.765     27.877     27.039     26.253     25.382     23.442     15.320    
7281.6     5.177e+12  15.8       291.7      1.148e+06  12.70      22.275     28.173     27.675     27.083     26.699     26.453     26.337     26.359     25.772     17.331    
8017.4     5.032e+12  15.8       281.1      1.178e+06  12.70      18.483     23.249     23.436     23.777     24.410     25.197     26.128     27.257     27.992     19.588    
8019.4     5.056e+12  15.8       291.7      1.144e+06  12.70      9.798      15.521     18.764     21.740     24.488     26.800     28.422     29.115     27.134     17.846    
8162.4     5.055e+12  15.8       291.7      1.144e+06  12.70      14.004     20.421     22.447     23.686     24.582     25.192     25.563     25.257     23.476     15.642    
11618.4    5.128e+12  15.8       291.7      1.144e+06  12.70      17.531     22.393     22.500     22.238     21.999     21.815     21.696     21.588     20.811     15.058    
13778.4    5.162e+12  15.8       291.7      1.144e+06  12.70      17.944     21.826     21.516     21.158     20.873     20.638     20.460     20.351     19.838     14.928    
15081.6    5.184e+12  15.8       291.7      1.144e+06  12.70      17.746     20.851     20.494     20.268     20.220     20.259     20.388     20.696     21.041     16.502    
15503      5.104e+12  15.8       286.4      1.160e+06  12.70      15.037     17.706     17.740     18.055     18.593     19.231     19.959     20.869     21.926     17.595    
15505      5.751e+12  15.8       291.7      1.146e+06  12.70      10.069     14.453     17.144     19.675     21.975     23.863     25.127     25.630     24.244     16.270    
15648      5.734e+12  15.8       291.7      1.146e+06  12.70      13.864     18.405     19.934     20.957     21.703     22.208     22.514     22.256     21.084     14.343    
19104      5.797e+12  15.8       291.7      1.146e+06  12.70      16.956     20.808     21.133     20.816     20.583     20.376     20.201     19.993     19.246     13.702    
20904      5.840e+12  15.8       291.7      1.146e+06  12.70      17.417     21.165     21.194     20.824     20.424     20.050     19.712     19.365     18.548     13.324    
22658.4    5.845e+12  15.8       291.7      1.146e+06  12.70      16.749     19.561     19.388     19.323     19.449     19.678     19.985     20.380     20.589     15.412    
23601.6    5.676e+12  15.8       281.2      1.175e+06  12.70      12.310     14.328     14.596     15.201     16.077     17.114     18.304     19.709     21.044     16.709    
